"SPECIES_CODE","SPECIES_NAME","COMMON_NAME","ID_RANK","DATABASE","DATABASE_ID","GENUS_TAXON","SUBFAMILY_TAXON","FAMILY_TAXON","SUPERFAMILY_TAXON","INFRAORDER_TAXON","SUBORDER_TAXON","ORDER_TAXON","SUPERORDER_TAXON","INFRACLASS_TAXON","SUBCLASS_TAXON","CLASS_TAXON","SUPERCLASS_TAXON","SUBPHYLUM_TAXON","PHYLUM_TAXON","KINGDOM_TAXON","GROUP_CODE"
21900,"Hexagrammidae","greenling unid.","family","WORMS","154415","","","Hexagrammidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21900
21910,"Ophiodon elongatus","lingcod","species","WORMS","240745","Ophiodon","Ophiodontinae","Hexagrammidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21910
21915,"Oxylebius pictus","painted greenling","species","WORMS","240743","Oxylebius","Oxylebiinae","Hexagrammidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21915
21921,"Pleurogrammus monopterygius","Atka mackerel","species","WORMS","282289","Pleurogrammus","Pleurogramminae","Hexagrammidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21921
21930,"Hexagrammos sp.","","genus","WORMS","240731","Hexagrammos","Hexagramminae","Hexagrammidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21930
21931,"Hexagrammos octogrammus","masked greenling","species","WORMS","254544","Hexagrammos","Hexagramminae","Hexagrammidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21931
21932,"Hexagrammos stelleri","whitespotted greenling","species","WORMS","254545","Hexagrammos","Hexagramminae","Hexagrammidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21932
21934,"Hexagrammos lagocephalus","rock greenling","species","WORMS","240735","Hexagrammos","Hexagramminae","Hexagrammidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21934
21935,"Hexagrammos decagrammus","kelp greenling","species","WORMS","240732","Hexagrammos","Hexagramminae","Hexagrammidae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21935
21936,"Zaniolepis latipinnis","longspine combfish","species","WORMS","283209","Zaniolepis","","Zaniolepididae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21936
21937,"Zaniolepis frenata","shortspine combfish","species","WORMS","283208","Zaniolepis","","Zaniolepididae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",21937
22010,"Icosteus aenigmaticus","ragfish","species","WORMS","281153","Icosteus","","Icosteidae","","","","Scombriformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22010
22110,"Idiacanthus antrostomus","Pacific blackdragon","species","WORMS","275151","Idiacanthus","Idiacanthinae","Stomiidae","","","","Stomiiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22110
22111,"Idiacanthus sp.","","genus","WORMS","126211","Idiacanthus","Idiacanthinae","Stomiidae","","","","Stomiiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22111
22121,"Medialuna californiensis","halfmoon","species","WORMS","281541","Medialuna","Scorpidinae","Kyphosidae","","","","Centrarchiformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22121
22170,"Cyclopteridae","lumpsucker unid.","family","WORMS","125590","","","Cyclopteridae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22170
22173,"Lethotremus sp.","","genus","WORMS","254346","Lethotremus","","Cyclopteridae","","","Cottoidei","Perciformes","","","","Teleostei","Actinopteri","Vertebrata","Chordata","Animalia",22173
